,run_0,run_1,run_2,run_3,run_4
0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0
20000,0.976269543170929,0.975390613079071,0.0,0.0,0.976269543170929
30000,0.976269543170929,0.975390613079071,0.975390613079071,0.975390613079071,0.976269543170929
40000,0.976269543170929,0.975390613079071,0.975390613079071,0.975390613079071,0.976269543170929
50000,0.0,0.0,0.975390613079071,0.0,0.976269543170929
60000,0.976269543170929,0.975390613079071,0.0,0.975390613079071,0.976269543170929
70000,0.976269543170929,0.975390613079071,0.975390613079071,0.975390613079071,0.0
80000,0.976269543170929,0.0,0.975390613079071,0.975390613079071,0.0
90000,0.0,0.975390613079071,0.975390613079071,0.975390613079071,0.0
